Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","SM0402",5.850000,-3.150000,0.000000,top
"C2","0.1uF","SM0402",6.050000,-3.850000,90.000000,top
"C3","0.1uF","SM0402",5.400000,-2.700000,270.000000,top
"C4","0.1uF","SM0402",2.850000,-2.600000,90.000000,top
"C5","0.1uF","SM0402",6.700000,-2.700000,270.000000,top
"C6","0.1uF","SM0402",3.850000,-3.225000,270.000000,top
"C7","0.1uF","SM0402",8.000000,-2.700000,270.000000,top
"C8","0.1uF","SM0402",3.850000,-3.025000,270.000000,top
"C9","2.2uF","SM0402",4.000000,-2.900000,90.000000,top
"C10","0.1uF","SM0402",4.900000,-3.400000,270.000000,top
"C11","2.2uF","SM0402",4.900000,-3.050000,90.000000,top
"C12","0.1uF","SM0402",4.900000,-2.950000,90.000000,top
"C13","2.2uF","SM0402",4.500000,-3.825000,270.000000,top
"C14","0.1uF","SM0402",4.500000,-3.725000,270.000000,top
"C15","2.2uF","SM0402",4.500000,-3.475000,270.000000,top
"C16","0.15uF","SM0402",4.550000,-2.950000,180.000000,top
"D1","DIODE_SCHOTTKY_30V_200mA_0402","SM0402_POL",4.000000,-2.650000,270.000000,top
"L1","600@100MHz_1210","SM1210",4.900000,-3.200000,270.000000,top
"R1","100","SM0402",5.200000,-2.800000,180.000000,top
"R2","100","SM0402",5.200000,-3.050000,0.000000,top
"R3","100","SM0402",6.500000,-2.800000,180.000000,top
"R4","100","SM0402",6.500000,-3.050000,0.000000,top
"R5","100","SM0402",7.800000,-2.800000,180.000000,top
"R6","100","SM0402",7.800000,-3.050000,0.000000,top
"R7","2.21k","SM0402",3.850000,-2.925000,270.000000,top
"R8","2.21k","SM0402",3.850000,-2.825000,270.000000,top
"U1","TMC429","QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm",6.050000,-3.650000,270.000000,top
"U10","SGTL5000","QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm",4.500000,-3.200000,180.000000,top
